"국가",2015,2016,2017,2018,2019,2020
"소말리아",4048860871.413 (US$),4198485403.879 (US$),4508845348.328 (US$),4720727283.205 (US$),4942319040.698 (US$),4917607582.229 (US$)
"남아프리카공화국",317620522794.827 (US$),296357282715.109 (US$),349554116683.818 (US$),368288939768.322 (US$),351431649241.439 (US$),301923639269.552 (US$)
"스페인",1195599995808.590 (US$),1232912963206.230 (US$),1312539279462.360 (US$),1422153839840.780 (US$),1393490524517.640 (US$),1281199091016.350 (US$)
"스리랑카",80604080688.578 (US$),82401038709.536 (US$),87421762728.629 (US$),87954272082.107 (US$),83975584254.403 (US$),80706600228.650 (US$)
"세인트키츠네비스",923155555.556 (US$),971170370.370 (US$),996944444.444 (US$),1010822222.222 (US$),1044711111.111 (US$),927451851.852 (US$)
"세인트루시아",1808079888.889 (US$),1865375222.222 (US$),1999090407.407 (US$),2065875074.074 (US$),2122450629.630 (US$),1703364240.741 (US$)
"세인트빈센트그레나딘",755400000.000 (US$),774429629.630 (US$),792177777.778 (US$),811300000.000 (US$),824718518.519 (US$),809681481.481 (US$)
"수단",64458521787.080 (US$),52804065669.912 (US$),45017179069.097 (US$),34522586970.002 (US$),32250448249.460 (US$),26110829190.401 (US$)
"수리남",5126291450.815 (US$),3317438910.831 (US$),3591623596.031 (US$),3996247906.198 (US$),4221373022.258 (US$),3807922874.483 (US$)
"에스와티니",4062660889.827 (US$),3816018484.527 (US$),4402972999.535 (US$),4665424249.062 (US$),4471598726.644 (US$),3962493092.993 (US$)
"스웨덴",505103781349.757 (US$),515654671469.547 (US$),541018749769.097 (US$),555455371487.089 (US$),531283304459.667 (US$),537609865719.019 (US$)
"스위스",702149580770.901 (US$),695600652899.283 (US$),704478516963.855 (US$),735889205256.251 (US$),731474367940.429 (US$),747968636174.008 (US$)
"타지키스탄",8271454300.595 (US$),6992393787.409 (US$),7536439875.083 (US$),7765014424.338 (US$),8300784856.879 (US$),8194150301.786 (US$)
"탄자니아",47378599025.304 (US$),49774021003.075 (US$),53320625958.563 (US$),57003713748.232 (US$),61136873747.332 (US$),62409748426.582 (US$)
"태국",401296437424.995 (US$),413366150655.591 (US$),456356961443.497 (US$),506611070188.362 (US$),544263968873.601 (US$),501794961925.244 (US$)
"동티모르",1594410800.000 (US$),1650608600.000 (US$),1599338100.000 (US$),1559894900.000 (US$),2017924900.000 (US$),1821000000.000 (US$)
"토고",4180866177.039 (US$),6031632168.174 (US$),6395472574.414 (US$),7112200725.002 (US$),7220395247.742 (US$),7574635241.302 (US$)
"통가",437006227.163 (US$),420540178.571 (US$),460379144.990 (US$),489235527.395 (US$),512350059.422 (US$),-
"트리니다드토바고",24959858249.443 (US$),22386264807.317 (US$),22385426653.883 (US$),23679919654.989 (US$),23208326547.533 (US$),21529824769.297 (US$)
"튀니지",43173531810.767 (US$),41801284916.201 (US$),39802554352.319 (US$),39770478673.165 (US$),39195716330.425 (US$),39235672868.272 (US$)
"터키",864316670330.882 (US$),869692960365.551 (US$),858996263095.858 (US$),778377023568.884 (US$),761428183369.171 (US$),720101212394.114 (US$)
"투르크메니스탄",35799714285.714 (US$),36169428571.429 (US$),37926285714.286 (US$),40765428571.429 (US$),45231428571.429 (US$),-
"우간다",32248116472.512 (US$),29078589751.460 (US$),30744473839.744 (US$),32912338571.340 (US$),35170037380.863 (US$),37372032557.594 (US$)
"우크라이나",91030959454.696 (US$),93355993628.504 (US$),112190355158.178 (US$),130901858421.720 (US$),153929501862.341 (US$),155582008717.426 (US$)
"아랍에미리트",358135057862.492 (US$),357045064669.843 (US$),385605506848.196 (US$),422215043594.282 (US$),421142267937.372 (US$),-
"영국",2932784751846.270 (US$),2693247611031.810 (US$),2662572824912.330 (US$),2857507502963.100 (US$),2830813507746.870 (US$),2707743777173.910 (US$)
"미국",18238300569000.000 (US$),18745075687000.000 (US$),19542979183000.000 (US$),20611860934000.000 (US$),21433224697000.000 (US$),20936600000000.000 (US$)
"우루과이",53274304222.136 (US$),57236652490.170 (US$),64233966861.252 (US$),64515038268.137 (US$),61231149880.586 (US$),53628827440.358 (US$)
"우즈베키스탄",81847410181.795 (US$),81779012350.883 (US$),59159945320.567 (US$),50392607758.232 (US$),57726542784.920 (US$),57707189945.421 (US$)
"바누아투",730870581.672 (US$),780889605.900 (US$),880043553.748 (US$),914727908.138 (US$),930337960.037 (US$),854793640.146 (US$)
