국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,학년전교육;남자,학년전교육;여자,학년전교육;합계,초등교육;남자,초등교육;여자,초등교육;합계,중등교육;남자,중등교육;여자,중등교육;합계,고등교육;남자,고등교육;여자,고등교육;합계,경제활동참여율;남자,경제활동참여율;여자
말라위,9712994564.916,10862613621.906,4.88,4.25,17.4,4.6,1159.0,2.655,42.992,54.366,2.642,,,,143.2,147.8,145.5,41.2,38.6,39.9,,,,,
말레이시아,358715057123.739,364681367531.684,2.11,2.01,77.2,10.2,27227.0,1.294,23.448,69.368,7.184,98.5,101.6,100.0,104.6,106.0,105.3,83.1,88.0,85.4,40.5,47.1,43.7,77.169,50.899
몰디브,5299773143.696,5642179170.459,2.11,1.88,40.7,6.8,12549.0,1.789,19.6,76.807,3.593,90.3,92.9,91.5,96.2,98.1,97.1,,,,16.6,59.8,31.2,,
말리,17070866299.095,17281815733.96,6.35,5.92,43.9,2.4,1965.0,2.971,47.007,50.516,2.477,6.6,7.1,6.9,84.6,75.6,80.2,45.9,37.1,41.5,6.3,2.7,4.5,,
몰타,14864712990.163,15215714309.097,1.4,1.45,94.7,11.3,34795.0,4.124,14.374,64.302,21.324,108.3,107.1,107.7,104.9,105.1,105.0,104.8,104.7,104.8,46.0,63.2,54.3,66.773,45.928
마셜제도,221588900.0,239462200.0,,,,10.9,4633.0,0.683,,,,,,,,,,,,,,,,,
모리타니,7050987978.121,7600650037.846,4.88,4.59,55.3,4.6,3746.0,2.702,39.685,57.137,3.178,,,,93.6,99.8,96.7,32.5,32.6,32.6,6.6,3.3,5.0,,
모리셔스,14181930162.416,14046337854.847,1.49,1.39,40.8,9.4,22724.0,0.002,16.785,70.695,12.52,100.8,100.5,100.7,100.6,102.4,101.5,92.5,99.1,95.7,33.9,47.5,40.6,,
멕시코,1222348807283.2,1268870527160.03,2.29,2.14,80.7,8.6,17628.0,1.058,25.835,66.547,7.618,72.7,74.8,73.7,105.5,106.0,105.8,100.7,108.2,104.4,39.8,40.6,40.2,78.328,44.254
미크로네시아,401932300.0,408060600.0,3.33,3.08,,7.7,3700.0,1.058,31.193,64.417,4.39,,,,,,,,,,,,,,
몰도바,11456728401.307,11968699005.98,1.28,1.26,42.8,11.6,6833.0,1.721,15.888,71.619,12.493,87.0,85.9,86.5,91.4,91.1,91.3,87.1,86.5,86.8,35.7,46.7,41.1,45.773,40.018
모나코,7194024563.061,7423709839.919,,,100.0,,,0.708,,,,,,,,,,,,,,,,,
몽골,13108769495.747,13996719329.424,2.84,2.9,68.7,10.2,10784.0,1.634,31.093,64.595,4.312,85.5,85.2,85.3,104.1,101.8,102.9,,,,53.2,75.3,64.2,,
모로코,118096227400.092,119700325461.938,2.6,2.42,63.5,5.5,7480.0,1.196,26.768,65.625,7.607,58.6,49.1,54.0,114.9,109.8,112.4,84.2,75.3,79.9,34.3,33.3,33.8,69.908,21.35
모잠비크,14845870050.709,15291448211.603,5.23,4.89,37.1,3.5,1154.0,2.887,44.063,53.075,2.862,,,,112.0,103.6,107.8,37.4,33.4,35.4,7.9,6.3,7.1,,
미얀마,68697759361.231,79844294296.065,2.25,2.17,31.1,5.0,5764.0,0.672,25.486,68.278,6.236,9.7,9.9,9.8,115.3,109.1,112.2,61.5,67.1,64.3,15.6,22.0,18.8,,
나미비아,13681065175.486,12565772084.744,3.63,3.42,52.0,6.9,9683.0,1.843,36.841,59.573,3.586,32.9,34.1,33.5,126.5,121.8,124.2,,,,15.3,30.3,22.9,,
네팔,33111525182.713,34186180694.929,2.32,1.93,20.6,4.9,2748.0,1.829,28.81,65.362,5.828,93.3,83.3,88.3,142.6,145.2,143.9,71.4,76.8,74.1,11.5,11.6,11.6,,
네덜란드,914043438179.607,907050863145.097,1.73,1.66,92.2,12.2,50013.0,0.553,15.702,64.264,20.035,94.2,94.4,94.3,104.2,104.2,104.2,134.7,136.5,135.6,79.3,90.9,85.0,68.743,58.13
뉴질랜드,208870426803.316,209127454522.901,2.04,1.9,86.7,12.7,35108.0,2.087,19.431,64.201,16.368,,,,99.8,100.2,100.0,111.1,118.2,114.6,67.9,97.2,82.0,75.21,64.678
